Id,D_curr_crop,havests
247,sorghum,1
247,rice,1
248,maize,2
248,rice,1
249,rice,1
249,maize,1
250,rice,2
250,maize,1
251,rice,1
252,maize,1
252,beans,1
252,sorghum,1
252,rice,1
253,maize,1
253,rice,2
254,maize,1
254,,1
254,rice,1
255,millet,1
255,sorghum,1
255,maize,1
255,tomatoes,1
256,maize,1
256,sorghum,1
256,vegetable,1
257,maize,1
257,sorghum,1
257,rice,1
258,millet,1
258,sorghum,1
258,rice,1
259,maize,1
259,sorghum,1
259,tomatoes,1
260,maize,1
260,sorghum,1
260,rice,1
261,maize,1
261,sorghum,1
262,maize,1
262,vegetable,1
262,sesame,1
263,maize,1
263,sorghum,1
263,rice,3
264,maize,1
264,rice,1
265,maize,1
265,rice,1
266,rice,1
266,maize,1
267,rice,1
267,maize,1
268,maize,1
268,rice,1
269,maize,1
269,rice,1
269,sweetpotato,1
270,maize,1
270,rice,1
271,rice,1
271,maize,1
272,maize,1
272,rice,1
272,vegetable,1
273,sorghum,1
273,maize,1
273,rice,1
274,rice,1
274,maize,1
275,maize,1
275,rice,1
276,rice,1
277,rice,1
277,sweetpotato,1
278,maize,1
278,rice,1
279,maize,1
279,rice,1
279,tomatoes,1
280,rice,1
281,maize,1
281,rice,1
282,maize,1
282,sorghum,1
282,sesame,1
282,rice,1
283,rice,1
283,maize,1
283,sesame,1
283,pigeonpeas,1
284,tomatoes,1
284,onion,1
284,rice,1
284,green_pepper,1
285,maize,1
285,sorghum,1
285,rice,1
286,maize,1
286,rice,1
287,rice,1
287,maize,1
288,maize,1
288,sesame,1
288,rice,1
288,tomatoes,1
289,maize,1
289,rice,1
290,maize,1
290,sorghum,1
290,tomatoes,1
290,sesame,1
291,vegetable,1
291,rice,1
292,maize,1
292,rice,1
293,maize,1
293,rice,1
294,rice,1
294,sorghum,1
294,maize,1
295,maize,1
295,rice,1
295,onion,1
296,maize,1
296,sorghum,1
296,rice,1
297,maize,1
297,sorghum,1
298,rice,1
298,maize,1
299,maize,1
299,rice,1
300,maize,1
300,rice,1
301,maize,1
301,sweetpotato,1
302,rice,1
302,maize,1
302,sesame,1
303,rice,1
303,maize,1
304,rice,1
304,tomatoes,1
304,vegetable,1
304,maize,1
305,maize,1
305,rice,1
306,rice,1
306,maize,1
307,maize,2
307,rice,2
308,rice,1
308,maize,1
309,maize,1
309,rice,1
310,rice,1
310,maize,2
311,maize,1
311,rice,1
312,maize,1
312,rice,1
313,maize,1
313,rice,1
313,sorghum,1
314,maize,1
314,rice,1
315,maize,1
315,rice,2
316,maize,1
316,rice,1
317,maize,2
317,rice,2
318,rice,1
318,maize,1
318,sorghum,1
318,onion,1
318,tomatoes,1
318,vegetable,1
319,rice,1
319,maize,1
320,rice,1
321,maize,1
321,sorghum,1
321,tomatoes,1
322,maize,1
322,rice,1
322,sesame,1
323,sesame,1
323,maize,2
323,cabbage,1
323,green_beans,1
324,maize,2
324,cabbage,1
324,baby_corn,1
325,maize,1
325,baby_corn,1
325,piri_piri,6
326,maize,1
326,beans,1
326,piri_piri,3
326,baby_corn,1
326,sweetpotato,1
326,cabbage,1
327,maize,1
327,baby_corn,1
328,maize,1
328,beans,1
328,potatoes,1
328,cabbage,1
329,maize,2
329,baby_corn,2
330,maize,1
330,bananas,1
330,cabbage,1
330,baby_corn,3
330,piri_piri,2
330,other,1
331,maize,3
331,bananas,1
331,other,1
331,baby_corn,1
331,green_beans,2
331,tomatoes,1
332,maize,1
332,sorghum,1
332,sesame,1
332,rice,1
333,maize,1
333,rice,1
333,beans,1
333,onion,1
333,vegetable,1
334,maize,1
334,rice,1
335,maize,1
335,tomatoes,1
335,onion,1
335,green_pepper,1
335,cabbage,1
336,rice,1
336,maize,1
336,sorghum,1
336,millet,1
337,maize,1
337,tomatoes,1
337,rice,1
338,rice,1
338,maize,1
339,maize,1
339,rice,1
339,tomatoes,1
339,vegetable,1
340,maize,1
340,rice,1
341,maize,2
341,rice,1
342,maize,1
342,rice,1
343,maize,1
343,rice,1
344,maize,1
344,rice,1
345,maize,2
345,sorghum,1
345,rice,1
346,maize,1
346,sorghum,1
347,maize,1
347,sorghum,1
347,rice,1
348,maize,1
348,sorghum,1
348,rice,1
348,millet,1
349,maize,1
349,sorghum,1
349,rice,1
350,maize,1
350,sorghum,1
350,rice,1
